"","Sample","Patient_ID","Microbiota","DNA_concentration","Experiment","Plate","Well_nextera","Adapter_plate","AdapterN","AdapterS","Tissue","Mouse","Sex","Survived","DEAD_DOL","Collection","Date.of.Extraction","Antibiotic","DOL","Antibiotic_day","Abx_relative","Abx_relativeinfxn","Infection","DPI","Adult","Notes","Total_Preprocessed_Reads","Total_Postprocessed_Reads","retainedreads","Resequence_DNA_concentration","Reseq_total_preprocessed_reads","Reseq_total_postprocessed_reads","Reseq_retainedreads","original_preprocessed_reads","original_postprocessed_reads","Resequence_Nextera","Resequence_nextera_plate","AdapterN2","AdapterS3"
"1952","GF26_A4_d148_stool","308.01 (5/19/12)","D","8.72","GF26","","H02","UDI Plate 05","AM-F0495","AM-R0495","stool","A4","M","no",NA,"","4/7/23","ampicillin/probenecid","12","2","duringamp","duringamp",NA,NA,"no","",2832001,1452463,"51.2875172","",NA,NA,NA,NA,NA,"",NA,"",""
"2020","GF13_A1_d34","308.01 (5/19/12)","D","35.5","GF13","2","H11","6","AM-F0604","AM-R0600","stool","A_1_1","M","yes",NA,"34","","meropenem/probenecid","12","2","duringmero","duringmero",NA,NA,"no","",825805,67399,"8.161612003","",NA,NA,NA,NA,NA,"",NA,"",""
"2237","GF13_B3_d34","308.01 (5/19/12)","D","1.53","GF13","3","A1","7","AM-F0626","AM-R0602","stool","B_1_3","F","yes",NA,"34","","probenecid","12","2","duringpro","duringpro",NA,NA,"no","",1358771,873503,"64.28625574","",NA,NA,NA,NA,NA,"",NA,"",""
"2523","GF26_A1_d31_Cwash","","D","1.62","GF26","","C08","UDI Plate 06","AM-F0537","AM-R0537","colon","A1","F",NA,NA,"31",NA,NA,"10",NA,NA,NA,NA,NA,"no","",6420503,341480,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2526","GF26_A2_d31_Cwash","","D","7.54","GF26","","C09","UDI Plate 06","AM-F0538","AM-R0538","colon","A2","F",NA,NA,"31",NA,NA,"10",NA,NA,NA,NA,NA,"no","",6940283,816195,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2527","GF26_A3_d31_Cwash","","D","3.96","GF26","","C10","UDI Plate 06","AM-F0539","AM-R0539","colon","A3","F",NA,NA,"31",NA,NA,"10",NA,NA,NA,NA,NA,"no","",5289268,96781,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2528","GF26_A3_d63_stool","","D","0.56","GF26","","D03","UDI Plate 06","AM-F0544","AM-R0544","stool","A3","F","yes",NA,"63",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2230327,473058,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2529","GF26_A4_d63_stool","","D","0.79","GF26","","D04","UDI Plate 06","AM-F0545","AM-R0545","stool","A4","F","yes",NA,"63",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2930464,908641,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2531","GF26_A6_d63_stool","","D","2.86","GF26","","D05","UDI Plate 06","AM-F0546","AM-R0546","stool","A6","F","yes",NA,"63",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2097577,1490352,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2532","GF26_A6_d64_stool","","D","1.53","GF26","","E02","UDI Plate 06","AM-F0555","AM-R0555","stool","A6","F","yes",NA,"64",NA,"meropenem/probenecid","11","1","duringmero","duringmero",NA,NA,"no","",2103641,1024494,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
"2533","GF26_A7_d63_stool","","D","1.73","GF26","","D06","UDI Plate 06","AM-F0547","AM-R0547","stool","A7","F","yes",NA,"63",NA,"meropenem/probenecid","10","0","beforemero","beforemero",NA,NA,"no","",2613674,1102153,"65.14231533","",NA,NA,NA,NA,NA,"",NA,"",""
