Sample	Species	Abundance
GF24_A6_d131_cwash	Clostridium_paraputrificum	6.4562
GF24_A6_d131_cwash	Clostridium_sp_7_2_43FAA	4.41981
GF24_A6_d131_cwash	Clostridium_innocuum	2.36883
GF24_A6_d131_cwash	Klebsiella_pneumoniae	1.95845
GF24_A6_d131_cwash	Achromobacter_xylosoxidans	0.92482
GF24_A6_d74_cwash	Escherichia_coli	36.18061
GF24_A6_d74_cwash	Klebsiella_aerogenes	34.96412
GF24_A6_d74_cwash	Klebsiella_oxytoca	21.87041
GF24_A6_d74_cwash	Klebsiella_pneumoniae	3.87336
GF24_A6_d74_cwash	Achromobacter_xylosoxidans	1.65675
GF24_A6_d74_cwash	Proteus_mirabilis	1.45475
GF24_A7_36_stool	Klebsiella_aerogenes	100
GF24_A7_37_stool	Klebsiella_aerogenes	100
GF24_A7_39_cwash	Klebsiella_aerogenes	29.89815
GF24_A7_39_cwash	Clostridium_sp_7_2_43FAA	28.56021
GF24_A7_39_cwash	Clostridioides_difficile	12.09772
GF24_A7_39_cwash	Clostridium_innocuum	8.4463
GF24_A7_39_cwash	Clostridium_paraputrificum	6.48908
GF24_A7_39_cwash	Klebsiella_oxytoca	6.14309
GF24_A7_39_cwash	Escherichia_coli	4.86083
GF24_A7_39_cwash	Enterococcus_faecalis	1.9739
GF24_A7_39_cwash	Klebsiella_pneumoniae	1.30564
GF24_A7_39_cwash	Clostridium_neonatale	0.22508
GF24_A7_d108_cwash	Klebsiella_aerogenes	75.20615
GF24_A7_d108_cwash	Klebsiella_pneumoniae	9.63918
GF24_A7_d108_cwash	Proteus_mirabilis	6.23287
GF24_A7_d108_cwash	Klebsiella_oxytoca	3.53708
GF24_A7_d108_cwash	Clostridium_innocuum	2.38316
GF24_A7_d108_cwash	Achromobacter_xylosoxidans	1.64576
GF24_A7_d108_cwash	Clostridium_sp_7_2_43FAA	1.02002
GF24_A7_d108_cwash	Clostridium_paraputrificum	0.18287
GF24_A7_d108_cwash	Clostridioides_difficile	0.12484
GF24_A7_d108_cwash	Enterococcus_faecalis	0.02807
GF24_A7_d131_cwash	Klebsiella_aerogenes	85.67159
GF24_A7_d131_cwash	Achromobacter_xylosoxidans	10.62517
GF24_A7_d131_cwash	Klebsiella_pneumoniae	2.71724
GF24_A7_d131_cwash	Clostridium_perfringens	0.986
GF24_A7_d74_cwash	Escherichia_coli	60.62201
GF24_A7_d74_cwash	Klebsiella_aerogenes	26.50522
GF24_A7_d74_cwash	Klebsiella_oxytoca	9.28554
GF24_A7_d74_cwash	Proteus_mirabilis	2.12588
GF24_A7_d74_cwash	Klebsiella_pneumoniae	1.1009
GF24_A7_d74_cwash	Achromobacter_xylosoxidans	0.36045
GF24_A8_d108_cwash	Klebsiella_aerogenes	90.27211
GF24_A8_d108_cwash	Achromobacter_xylosoxidans	7.00659
GF24_A8_d108_cwash	Klebsiella_pneumoniae	2.7213
GF24_A8_d131_cwash	Klebsiella_aerogenes	81.94106
GF24_A8_d131_cwash	Achromobacter_xylosoxidans	9.47097
GF24_A8_d131_cwash	Klebsiella_pneumoniae	8.58798
GF24_A9_d108_cwash	Klebsiella_aerogenes	90.0175
GF24_A9_d108_cwash	Klebsiella_pneumoniae	4.5942
GF24_A9_d108_cwash	Enterococcus_faecalis	2.19589
GF24_A9_d108_cwash	Klebsiella_oxytoca	1.69342
GF24_A9_d108_cwash	Clostridioides_difficile	0.79992
GF24_A9_d108_cwash	Clostridium_sp_7_2_43FAA	0.65044
GF24_A9_d108_cwash	Achromobacter_xylosoxidans	0.04102
GF24_A9_d108_cwash	Achromobacter_insuavis	0.00762
GF24_A9_d131_cwash	Klebsiella_aerogenes	97.04592
GF24_A9_d131_cwash	Klebsiella_pneumoniae	1.91385
GF24_A9_d131_cwash	Achromobacter_xylosoxidans	0.57456
GF24_A9_d131_cwash	Enterococcus_faecalis	0.41796
GF24_A9_d131_cwash	Clostridioides_difficile	0.03211
GF24_A9_d131_cwash	Clostridium_sp_7_2_43FAA	0.01106
GF24_A9_d131_cwash	Clostridium_perfringens	0.00453
GF24_Adam_d100_stool	Clostridium_perfringens	17.50611
GF24_Adam_d100_stool	Klebsiella_oxytoca	15.63016
