Sample	p__Actinobacteria	p__Bacteroidetes	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
GF13_A6_d65_colon	0	0	68.09134	0	31.90866	0
GF13_A7_d65_colon	0	0	74.74197	0	25.25803	0
GF13_A8_d65_colon	0	0	73.84986	0	26.15014	0
GF13_A9_d65_colon	0	0	77.95631	0	22.04369	0
GF13_B1_d32	0	0	0	0	100	0
GF13_B1_d65_colon	0	0	0	0	100	0
GF13_B2_d32	0	0	0	0	100	0
GF13_B2_d35_colon	0	0	56.10396	0	43.89604	0
GF13_B2_d65_colon	0	0	0	0	0	0
GF13_B3_d32	0	0	0	0	100	0
GF13_B3_d34	0	0	5.27489	0	94.72511	0
GF13_B3_d35_colon	0	0	81.70453	0	18.29547	0
GF13_B3_d65_colon	0	0	0	0	100	0
GF13_B4_d32	0	0	0	0	100	0
GF13_B4_d35_colon	0	0	58.38433	0	41.61567	0
GF13_B4_d65_colon	0	0	0	0	0	0
GF13_B5_d32	0	0	0	0	100	0
GF13_B5_d35_colon	0	0	34.7108	0	65.2892	0
GF13_B5_d65_colon	0	0	0	0	100	0
GF13_B6_d65_colon	0	0	0	0	0	0
GF13_B7_d65_colon	0	0	0	0	0	0
GF13_B8_d65_colon	0	0	3.79619	0	96.20381	0
GF13_B9_d65_colon	0	0	0	0	100	0
GF13_inoc_200118	5.19493	0	66.7195	0	28.08557	0
GF14_A_d66_stool	7.4567	0	84.62694	0	7.91636	0
GF14_A_Dam_d0	0	0	0	0	0	0
GF14_A_Dam_d21	0	0	91.36878	0	8.63122	0
GF14_A1_d32	0	0	6.81547	0	93.18453	0
GF14_A1_d35_colon	0	0	0	0	100	0
GF14_A1_d94_stool	0	0	4.68579	0	95.31421	0
GF14_A1_d95_stool	0	0	9.16641	0	90.83359	0
GF14_a1_d97_colon	0	0	0	0	100	0
GF14_A2_d32	0	0	5.53343	0	94.46657	0
GF14_A2_d33	0	0	6.08582	0	93.91418	0
GF14_A2_d35_colon	0	0	0	0	100	0
GF14_A2_d94_stool	0	0	0.08494	0	99.91506	0
GF14_A2_d96_16_stool	0	0	0	0	100	0
GF14_a2_d97_colon	0.10233	0	0	0	99.89767	0
GF14_A3_d32	0	0	9.13688	0	90.86312	0
GF14_A3_d35_colon	0	0	0	0	100	0
GF14_a3_d97_colon	0	0	0	0	100	0
GF14_A4_d32	0	0	1.10583	0	98.89417	0
GF14_A4_d33	0	0	0	0	100	0
GF14_A4_d34	0	0	100	0	0	0
GF14_A4_d35_colon	0	0	0	0	100	0
GF14_A4_d94_stool	0	0	0.72889	0	99.27111	0
GF14_A4_d95_stool	0	0	2.80511	0	97.19489	0
GF14_a4_d97_colon	0	0	0	0	100	0
GF14_A5_d32	0	0	2.98955	0	97.01045	0
GF14_A5_d35_colon	0	0	0	0	100	0
GF14_A5_d94_stool	0	0	0.52477	0	99.47523	0
GF14_A5_d96_16_stool	0	0	6.52686	0	93.47314	0
GF14_A5_d96_stool	0	0	4.87421	0	95.12579	0
GF14_a5_d97_colon	0	0	0	0	100	0
GF14_A6_d34_colon	0	0	2.4341	0	97.5659	0
GF14_A6_d94_stool	0	0	0.51928	0	99.48072	0
GF14_A6_d95_stool	0	0	8.41103	0	91.58897	0
GF14_A6_d96_16_stool	0	0	13.34921	0	86.65079	0
GF14_a6_d97_colon	0	0	0	0	100	0
GF14_A7_d32	0	0	2.62298	0	97.37702	0
GF14_A7_d34	0	0	0	0	100	0
GF14_A7_d35_colon	0	0	0	0	100	0
GF14_A7_d94_stool	0	0	1.7097	0	98.2903	0
GF14_A7_d95_stool	0	0	4.00457	0	95.99543	0
GF14_a7_d97_colon	0	0	0	0	100	0
GF14_A8_d94_stool	0	0	2.08312	0	97.91688	0
GF14_A8_d96_16_stool	0	0	11.862	0	88.138	0
GF14_A8_d96_stool	0	0	7.017	0	92.983	0
GF14_a8_d97_colon	0	0	0	0	100	0
GF14_Adam_d18_stool	0	0	81.95323	0	18.04677	0
GF14_Adam_d5_stool	0	0	86.01293	0	13.98707	0
GF14_Adam_d51_stool	0	0	87.34503	0	12.65497	0
GF14_Adam_d59_stool	0	0	87.80648	0	12.19352	0
GF14_Adam_d78_stool	0	0	88.55654	0	11.44346	0
GF14_Adam_d9_stool	0	0	72.47066	0	27.52934	0
GF14_B_d0_stool	0	0	0	0	0	0
GF14_B_d66_stool	0	0	89.20362	0	10.79638	0
GF14_B_d78_stool	0	0	91.55979	0	8.44021	0
GF14_b1_d95_colon	0	0	0	0	100	0
GF14_b2_d95_colon	0	0	67.50245	0	32.49755	0
GF14_b3_d95_colon	0	0	51.7695	0	48.2305	0
GF14_Bdam_d18_stool	0	0	84.71932	0	15.28068	0
GF14_Bdam_d5_stool	0	0	70.08454	0	29.91546	0
GF14_Bdam_d51_stool	0	0	81.85061	0	18.14939	0
GF14_Bdam_d59_stool	0	0	90.41297	0	9.58703	0
GF14_Bdam_d9_stool	0	0	80.82807	0	19.17193	0
GF14_C_d66_stool	7.84573	0	74.38124	0	17.77303	0
GF14_c_d78_stool	4.35464	0	85.0295	0	10.61586	0
GF14_c1_d130_colon	0	0	0.56755	0	99.43245	0
GF14_c2_d130_colon	0	0	0.16994	0	99.83006	0
GF14_c3_d130_colon	0	0	0.03334	0	99.96666	0
GF14_Cdam_d18_stool	5.58039	0	84.54229	0	9.87732	0
GF14_cdam_d5_stool	0	0	80.52164	0	19.47836	0
GF14_Cdam_d51_stool	1.52863	0	85.67646	0	12.79491	0
GF14_Cdam_d59_stool	3.0847	0	88.55792	0	8.35738	0
GF14_Cdam_d9_stool	0.31647	0	81.02769	0	18.65584	0
GF14_d67_A1_stool	0	0	0.18321	0	99.81679	0
GF14_d67_A2_stool	0	0	0	0	0	0
GF14_d67_A3_stool	0	0	0	0	100	0
GF14_d67_A4_stool	0	0	0	0	100	0
GF14_d67_A5_stool	0	0	0	0	100	0
GF14_d67_A6_stool	0	0	0	0	100	0
GF14_d67_A7_stool	0	0	0	0	100	0
GF14_d67_A8_stool	0	0	0	0	100	0
