Sample	c__Actinobacteria	c__Alphaproteobacteria	c__Bacilli	c__Bacteroidia	c__Betaproteobacteria	c__Clostridia	c__Coriobacteriia	c__Epsilonproteobacteria	c__Erysipelotrichia	c__Fusobacteriia	c__Gammaproteobacteria	c__Negativicutes	c__Proteobacteria_unclassified	c__Tissierellia	c__Verrucomicrobiae
GF10_A7_d104_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_A7_d127_colon	0	0	0.44265	0	0	0	0	0	0	0	99.55735	0	0	0	0
GF10_A8_d102	0	0	0.79132	0	0	0	0	0	0	0	99.20868	0	0	0	0
GF10_A8_d104_colon	0.08418	0	0.90843	0	0	58.51841	0	0.64589	10.92224	0	23.53479	4.68125	0	0.70481	0
GF10_Adam_d1	0	0	3.39554	0	0	61.66269	0	0	18.67286	0	16.26891	0	0	0	0
GF10_Adam_d20	5.22338	0	2.4419	0	0	67.5339	0	0	14.40899	0	7.4192	2.88975	0	0.08288	0
GF10_C1_COLON_D55	0	0	0.69859	0	0	0	0	0	0	0	99.30141	0	0	0	0
GF10_C1_d102_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C1_d55	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C1_d77	0	0	0.33375	0	0	22.37811	0	0	0	0	77.28815	0	0	0	0
GF10_C1_d78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C1_d80_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C10_COLON_D55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C10_d55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C2_COLON_D35	12.83503	0	19.11453	0	0	1.80515	0	0	0.13294	0	51.10584	0	0	15.00652	0
GF10_C2_COLON_D55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C2_d101	0	0	1.81701	0	0	1.32406	0	0	0	0	96.85893	0	0	0	0
GF10_C2_d103	0	0	0.02098	0	0	11.64742	0	0	22.40885	0	65.92274	0	0	0	0
GF10_C2_d104_colon	0	0	0	0	0	16.18907	0	0	36.13986	0	47.67107	0	0	0	0
GF10_C2_D32	2.81866	0	6.88325	0	0	2.87838	0	0	2.71375	0	80.58598	0	0	4.11998	0
GF10_C2_D33	0	0	2.24202	0	0	2.36957	0	0	0	0	95.38841	0	0	0	0
GF10_C2_D34	0	0	6.92085	0	0	1.15271	0	0	0.38864	0	89.67142	1.86638	0	0	0
GF10_C2_d55	30.73702	0	1.40212	0	0	63.24966	0	0	0	0	4.5357	0.07549	0	0	0
GF10_C2_d77	0	0	1.5488	0	0	55.65355	0	0	0	0	42.08245	0.71521	0	0	0
GF10_C2_d78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C2_d80_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C3_COLON_D35	5.01171	0	16.68483	0	0	1.83502	0	0	0	0	66.69284	0	0	9.77561	0
GF10_C3_COLON_D55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C3_d101	0	0	0.98472	0	0	0.70884	0	0	0	0	98.30644	0	0	0	0
GF10_C3_d102_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C3_D33	0	0	0.12742	0	0	0	0	0	0	0	99.87258	0	0	0	0
GF10_C3_d55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C3_d78	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C3_d79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C3_d80_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C4_COLON_D55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C4_d102_colon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C4_d55	36.084	0	1.70866	0	0	58.73735	0	0	0	0	2.55053	0.87668	0	0.04279	0
GF10_C4_d77	0	0	4.86103	0	0	28.59248	0	0	0	0	61.41345	5.13304	0	0	0
GF10_C4_d80_colon	0	0	0	0	0	46.51819	0	0	11.94707	0	41.53473	0	0	0	0
GF10_C5_COLON_D55	0	0	1.00906	0	0	0	0	0	0	0	98.99094	0	0	0	0
GF10_C5_d101	0	0	1.49395	0	0	1.36712	0	0	0	0	97.13893	0	0	0	0
GF10_C5_d55	29.87981	0	1.50035	0	0	65.61753	0	0	0	0	3.00231	0	0	0	0
GF10_C5_d77	0	0	1.61777	0	0	0	0	0	0	0	98.38223	0	0	0	0
GF10_C5_d80_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C6_COLON_D55	0	0	0.72318	0	0	0	0	0	0.79117	0	98.48565	0	0	0	0
GF10_C6_d101	0	0	0.12781	0	0	0	0	0	0	0	99.87219	0	0	0	0
GF10_C6_d102_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C6_d55	30.27019	0	1.17972	0	0	62.74187	0	0	0	0	5.80822	0	0	0	0
GF10_C7_COLON_D55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C7_d55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_C8_COLON_D55	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF10_C8_d101	0	0	1.36398	0	0	0.77434	0	0	0	0	97.86169	0	0	0	0
GF10_C8_d103	0	0	30.02357	0	0	24.72295	0	0	22.60431	0	22.64917	0	0	0	0
GF10_C8_d55	18.27397	0	2.73095	0	0	58.85031	0	0.08552	7.26789	0	10.28977	1.74869	0	0.7529	0
GF10_C9_COLON_D55	0	0	7.19971	0	0	0	0	0	0	0	92.80029	0	0	0	0
GF10_C9_d55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF10_Cdam_d0	36.5025	0	0.71078	0	0	54.52009	0	0	0	0	1.13896	7.12766	0	0	0
GF10_Cdam_d1	0	0	4.04574	0	0	51.5471	0	0	24.87042	0	19.53674	0	0	0	0
GF10_Cdam_d20	3.83456	0	4.20382	0	0	69.83318	0	0	14.23004	0	7.89841	0	0	0	0
GF10_INOC	0	0	8.12138	0	0	14.96434	0	0	4.22671	0	64.26206	8.42551	0	0	0
GF11_A_DAM_D0	12.99624	0	20.90831	0	0	1.25527	0	0	1.41866	0	42.37855	0	0	21.04298	0
GF11_A1_COLON_D38	18.23328	0	31.35805	0	0	0.17126	0	0	0	0	34.36322	0.21529	0	15.65889	0
GF11_A1_D35	4.61029	0	12.27589	0	0	0	0	0	0	0	81.86477	0	0	1.24905	0
GF11_A1_D37	1.72383	0	23.62206	0	0	2.52819	0	0	0	0	72.08355	0	0	0.04235	0
GF11_A2_COLON_D38	9.85031	0	27.48098	0	0	0	0	0	0	0	49.544	0	0	13.12471	0
GF11_A2_D35	1.80078	0	25.64749	0	0	0.03536	0	0	0	0	72.46512	0	0	0.05126	0
GF11_A2_D36	0	0	24.12052	0	0	0	0	0	0	0	75.87948	0	0	0	0
GF11_A3_D36	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF11_A4_COLON_D38	12.59802	0	23.42302	0	0	0.23427	0	0	0	0	49.99287	0	0	13.75181	0
GF11_A4_D37	0.76533	0	4.02981	0	0	0.28289	0	0	0	0	94.92198	0	0	0	0
GF11_A5_D35	15.51447	0	3.30513	0	0	0	0	0	0	0	81.1804	0	0	0	0
GF11_B_dam_d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF11_B_dam_d111	58.71672	0	2.63994	0	0	34.20913	0	0	0	0	1.88577	0.39513	0	2.15331	0
GF11_B_dam_d20	68.40849	0	3.17522	0	0	22.36994	0	0	0	0	2.26508	0.34625	0	3.43502	0
GF11_B_dam_d7	77.25817	0	1.2033	0	0	14.25798	0	0	0	0	5.46181	0.5896	0	1.22914	0
GF11_B1_COLON_D38	9.56416	0	28.32483	0	0	0	0	0	0	0	52.51032	0	0	9.60069	0
GF11_B1_d105_colon	0	0	2.47207	0	0	16.70478	0	0	53.12622	0	27.69693	0	0	0	0
GF11_B1_D36	10.10596	0	29.64617	0	0	0.62378	0	0	0	0	45.29342	0	0	14.33068	0
GF11_B1_d71	1.74694	0	0	0	0	0.01545	0	0	0	0	98.23761	0	0	0	0
GF11_B2_COLON_D38	1.899	0	11.59457	0	0	0	0	0	0	0	84.46688	0	0	2.03955	0
GF11_B2_d105_colon	42.49539	0	3.43635	0	0	47.29495	0	0	0	0	6.77331	0	0	0	0
GF11_B2_D36	13.52404	0	23.18796	0	0	0	0	0	0	0	50.02991	0	0	13.2581	0
GF11_B2_d71	2.01421	0	9.41894	0	0	0.21354	0	0	0	0	88.35331	0	0	0	0
GF11_B2_d73	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
GF11_B2_d74_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF11_B3_COLON_D38	0	0	7.6351	0	0	0	0	0	0	0	92.3649	0	0	0	0
GF11_B3_d105_colon	57.22703	0	1.22637	0	0	34.98183	0	0	0	0	6.56476	0	0	0	0
GF11_B3_D35	0.66057	0	4.01707	0	0	0	0	0	0	0	95.32235	0	0	0	0
GF11_B3_D37	0	0	0.52405	0	0	0	0	0	0	0	99.47595	0	0	0	0
GF11_B3_d71	0	0	1.86076	0	0	0	0	0	0	0	98.13924	0	0	0	0
GF11_B3_d72_colon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF11_B4_COLON_D38	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
