TaxonomicLevel	Sample	taxa	abundance
phyla	GF10_C6_COLON_D55	p__Proteobacteria	98.48565
phyla	GF10_C6_COLON_D55	p__Firmicutes	1.51435
phyla	GF10_C6_d101	p__Proteobacteria	99.87219
phyla	GF10_C6_d101	p__Firmicutes	0.12781
phyla	GF10_C6_d55	p__Firmicutes	63.9216
phyla	GF10_C6_d55	p__Actinobacteria	30.27019
phyla	GF10_C6_d55	p__Proteobacteria	5.80822
phyla	GF10_C7_COLON_D55	p__Proteobacteria	100
phyla	GF10_C8_COLON_D55	p__Proteobacteria	100
phyla	GF10_C8_d101	p__Proteobacteria	97.86169
phyla	GF10_C8_d101	p__Firmicutes	2.13831
phyla	GF10_C8_d103	p__Firmicutes	77.35083
phyla	GF10_C8_d103	p__Proteobacteria	22.64917
phyla	GF10_C8_d55	p__Firmicutes	71.35074
phyla	GF10_C8_d55	p__Actinobacteria	18.27397
phyla	GF10_C8_d55	p__Proteobacteria	10.37529
phyla	GF10_C9_COLON_D55	p__Proteobacteria	92.80029
phyla	GF10_C9_COLON_D55	p__Firmicutes	7.19971
phyla	GF10_Cdam_d0	p__Firmicutes	62.35853
phyla	GF10_Cdam_d0	p__Actinobacteria	36.5025
phyla	GF10_Cdam_d0	p__Proteobacteria	1.13896
phyla	GF10_Cdam_d1	p__Firmicutes	80.46326
phyla	GF10_Cdam_d1	p__Proteobacteria	19.53674
phyla	GF10_Cdam_d20	p__Firmicutes	88.26704
phyla	GF10_Cdam_d20	p__Proteobacteria	7.89841
phyla	GF10_Cdam_d20	p__Actinobacteria	3.83456
phyla	GF10_INOC	p__Proteobacteria	64.26206
phyla	GF10_INOC	p__Firmicutes	35.73794
phyla	GF11_A_DAM_D0	p__Firmicutes	44.62522
phyla	GF11_A_DAM_D0	p__Proteobacteria	42.37855
phyla	GF11_A_DAM_D0	p__Actinobacteria	12.99624
phyla	GF11_A1_COLON_D38	p__Firmicutes	47.4035
phyla	GF11_A1_COLON_D38	p__Proteobacteria	34.36322
phyla	GF11_A1_COLON_D38	p__Actinobacteria	18.23328
phyla	GF11_A1_D35	p__Proteobacteria	81.86477
phyla	GF11_A1_D35	p__Firmicutes	13.52493
phyla	GF11_A1_D35	p__Actinobacteria	4.61029
phyla	GF11_A1_D37	p__Proteobacteria	72.08355
phyla	GF11_A1_D37	p__Firmicutes	26.19261
phyla	GF11_A1_D37	p__Actinobacteria	1.72383
phyla	GF11_A2_COLON_D38	p__Proteobacteria	49.544
phyla	GF11_A2_COLON_D38	p__Firmicutes	40.60568
phyla	GF11_A2_COLON_D38	p__Actinobacteria	9.85031
phyla	GF11_A2_D35	p__Proteobacteria	72.46512
phyla	GF11_A2_D35	p__Firmicutes	25.73411
phyla	GF11_A2_D35	p__Actinobacteria	1.80078
phyla	GF11_A2_D36	p__Proteobacteria	75.87948
phyla	GF11_A2_D36	p__Firmicutes	24.12052
phyla	GF11_A3_D36	p__Proteobacteria	100
phyla	GF11_A4_COLON_D38	p__Proteobacteria	49.99287
phyla	GF11_A4_COLON_D38	p__Firmicutes	37.4091
phyla	GF11_A4_COLON_D38	p__Actinobacteria	12.59802
phyla	GF11_A4_D37	p__Proteobacteria	94.92198
phyla	GF11_A4_D37	p__Firmicutes	4.3127
phyla	GF11_A4_D37	p__Actinobacteria	0.76533
phyla	GF11_A5_D35	p__Proteobacteria	81.1804
phyla	GF11_A5_D35	p__Actinobacteria	15.51447
phyla	GF11_A5_D35	p__Firmicutes	3.30513
phyla	GF11_B_dam_d111	p__Actinobacteria	58.71672
phyla	GF11_B_dam_d111	p__Firmicutes	39.39751
phyla	GF11_B_dam_d111	p__Proteobacteria	1.88577
phyla	GF11_B_dam_d20	p__Actinobacteria	68.40849
phyla	GF11_B_dam_d20	p__Firmicutes	29.32642
phyla	GF11_B_dam_d20	p__Proteobacteria	2.26508
phyla	GF11_B_dam_d7	p__Actinobacteria	77.25817
