Sample,Clostridiaceae,Enterobacteriaceae,Erysipelotrichaceae,Peptostreptococcaceae,Enterococcaceae,Veillonellaceae,Morganellaceae,Peptoniphilaceae,Campylobacteraceae,Actinomycetaceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Streptococcaceae,Staphylococcaceae,Sphingomonadaceae,Bifidobacteriaceae,Corynebacteriaceae,Dermabacteraceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Pseudomonadaceae,Alcaligenaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
CONV_MERO2_COLON,0,0,0,42.2165,43.21215,0,0,0,0,0,0,14.57135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO2_D0,0,0.20283,0,0.40536,7.37509,0,0,0,0,0,0,10.64572,48.21463,23.11782,10.03855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO2_D3,0,0,0,0,99.69623,0,0,0,0,0,0,0,0,0,0.30377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_COLON,0,0,0,1.10355,4.56523,0,0,0,0,0,0,94.05712,0,0,0.2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_D1,0,0,0,8.08924,48.9519,0,0,0,0,0,0,26.41518,0,0.63594,15.90774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO3_D3,0,0,0,0.26082,4.18388,0,0,0,0,0,0,90.40058,0,0,5.15472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_COLON,0,0,0,15.38157,43.26364,0,0,0,0,0,0,24.16463,0,0,17.19016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D0,0,0,0,0.47372,0,0,0,0,0,0,0,77.75885,7.97338,9.77129,2.9651,1.05766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D1,0,0,0,4.93612,0,0,0,0,0,0,0,0,0,0.35332,94.71057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_MERO4_D3,0,0,0,66.2791,32.09592,0,0,0,0,0,0,0,0,0.01693,1.60805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_COLON,0,0,0,2.99553,0,0,0,0,0,0,0,33.8989,7.51078,6.98937,46.16518,2.44024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_D0,0,0,0,0.77649,1.2897,0,0,0,0,0,0,1.34581,74.77864,18.25381,3.55555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS1_D3,0,1.64461,0,1.27189,0.19156,0,0,0,0,0,0,70.6241,13.09525,3.16441,8.43638,1.57181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS2_COLON,0,0,0,0.88787,0,0,0,0,0,0,0,60.23488,6.6942,1.433,28.85982,1.89022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS2_D1,0,1.12966,0,1.08651,0,0,0,0,0,0,0,51.79965,21.99303,7.94678,12.43522,3.508,0.10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS2_D3,0,0,0,0.03673,0,0,0,0,0,0,0,74.31692,12.72496,3.14713,7.62189,2.15237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS3_COLON,0,0,0,0,0,0,0,0,0,0,0,47.30147,5.25609,0,46.59387,0.84857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS3_D1,27.51881,5.56644,22.16733,3.11618,1.5436,0,0,4.01006,0,0,0,13.9034,11.0466,6.0783,4.24862,0.80066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_COLON,0,0,0,0,0,0,0,0,0,0,0,54.79447,13.50345,0,29.27232,2.42976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_D0,0,0.21468,0,0,0,0,0,0,0,0,0,76.86505,14.99767,1.35989,5.39144,1.17127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_D1,0,0.27939,0,0,0,0,0,0,0,0,0,63.7768,15.74604,0.13255,18.15167,1.83929,0.07425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONV_PBS4_D3,0,0.04449,0,0.07061,0,0,0,0,0,0,0,75.19666,14.06691,2.78885,5.42874,2.29928,0.10446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_A10,50.85604,10.42658,19.24484,10.17242,2.73172,2.66641,0.66944,2.85365,0,0.37889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B_mom_d32,50.65554,5.62842,20.10749,5.28758,3.3564,5.29674,0.91839,4.00878,2.12565,2.61501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B10,43.63559,8.77239,31.11821,7.46627,2.79574,4.14865,0.24717,0.96112,0.85487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF1_B14,67.36827,2.56797,14.19298,8.46168,1.83001,3.20471,0.8889,0.62456,0.86091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
