Sample	f__Actinomycetaceae	f__Akkermansiaceae	f__Bacillales_unclassified	f__Bacteroidaceae	f__Bifidobacteriaceae	f__Campylobacteraceae	f__Clostridiaceae	f__Corynebacteriaceae	f__Dermabacteraceae	f__Eggerthellaceae	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Fusobacteriaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Morganellaceae	f__Mycobacteriaceae	f__Oscillospiraceae	f__Peptoniphilaceae	f__Peptostreptococcaceae	f__Propionibacteriaceae	f__Proteobacteria_unclassified	f__Pseudomonadaceae	f__Ruminococcaceae	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Sutterellaceae	f__Veillonellaceae	f__Yersiniaceae
CONV_MERO2_D3	0	0	0	0	0	0	0	0	0	0	0	99.69623	0	0	0.30377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CONV_MERO3_COLON	0	0	0	94.05712	0	0	0	0	0	0	0	4.56523	0	0	0.2741	0	0	0	0	0	1.10355	0	0	0	0	0	0	0	0	0	0
CONV_MERO3_D1	0	0	0	26.41518	0	0	0	0	0	0	0	48.9519	0	0	15.90774	0.63594	0	0	0	0	8.08924	0	0	0	0	0	0	0	0	0	0
CONV_MERO3_D3	0	0	0	90.40058	0	0	0	0	0	0	0	4.18388	0	0	5.15472	0	0	0	0	0	0.26082	0	0	0	0	0	0	0	0	0	0
CONV_MERO4_COLON	0	0	0	24.16463	0	0	0	0	0	0	0	43.26364	0	0	17.19016	0	0	0	0	0	15.38157	0	0	0	0	0	0	0	0	0	0
CONV_MERO4_D0	0	7.97338	0	77.75885	0	0	0	0	0	0	0	0	0	0	2.9651	9.77129	0	0	0	0	0.47372	0	0	0	0	0	0	0	1.05766	0	0
CONV_MERO4_D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.71057	0.35332	0	0	0	0	4.93612	0	0	0	0	0	0	0	0	0	0
CONV_MERO4_D3	0	0	0	0	0	0	0	0	0	0	0	32.09592	0	0	1.60805	0.01693	0	0	0	0	66.2791	0	0	0	0	0	0	0	0	0	0
CONV_PBS1_COLON	0	7.51078	0	33.8989	0	0	0	0	0	0	0	0	0	0	46.16518	6.98937	0	0	0	0	2.99553	0	0	0	0	0	0	0	2.44024	0	0
CONV_PBS1_D0	0	74.77864	0	1.34581	0	0	0	0	0	0	0	1.2897	0	0	3.55555	18.25381	0	0	0	0	0.77649	0	0	0	0	0	0	0	0	0	0
CONV_PBS1_D3	0	13.09525	0	70.6241	0	0	0	0	0	0	1.64461	0.19156	0	0	8.43638	3.16441	0	0	0	0	1.27189	0	0	0	0	0	0	0	1.57181	0	0
CONV_PBS2_COLON	0	6.6942	0	60.23488	0	0	0	0	0	0	0	0	0	0	28.85982	1.433	0	0	0	0	0.88787	0	0	0	0	0	0	0	1.89022	0	0
CONV_PBS2_D1	0	21.99303	0	51.79965	0	0	0	0	0	0	1.12966	0	0	0	12.43522	7.94678	0	0	0	0	1.08651	0	0.10116	0	0	0	0	0	3.508	0	0
CONV_PBS2_D3	0	12.72496	0	74.31692	0	0	0	0	0	0	0	0	0	0	7.62189	3.14713	0	0	0	0	0.03673	0	0	0	0	0	0	0	2.15237	0	0
CONV_PBS3_COLON	0	5.25609	0	47.30147	0	0	0	0	0	0	0	0	0	0	46.59387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84857	0	0
CONV_PBS3_D1	0	11.0466	0	13.9034	0	0	27.51881	0	0	0	5.56644	1.5436	22.16733	0	4.24862	6.0783	0	0	0	4.01006	3.11618	0	0	0	0	0	0	0	0.80066	0	0
CONV_PBS4_COLON	0	13.50345	0	54.79447	0	0	0	0	0	0	0	0	0	0	29.27232	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42976	0	0
CONV_PBS4_D0	0	14.99767	0	76.86505	0	0	0	0	0	0	0.21468	0	0	0	5.39144	1.35989	0	0	0	0	0	0	0	0	0	0	0	0	1.17127	0	0
CONV_PBS4_D1	0	15.74604	0	63.7768	0	0	0	0	0	0	0.27939	0	0	0	18.15167	0.13255	0	0	0	0	0	0	0.07425	0	0	0	0	0	1.83929	0	0
CONV_PBS4_D3	0	14.06691	0	75.19666	0	0	0	0	0	0	0.04449	0	0	0	5.42874	2.78885	0	0	0	0	0.07061	0	0.10446	0	0	0	0	0	2.29928	0	0
CONV_WATER_F12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GF1_A10	0.37889	0	0	0	0	0	50.85604	0	0	0	10.42658	2.73172	19.24484	0	0	0	0.66944	0	0	2.85365	10.17242	0	0	0	0	0	0	0	0	2.66641	0
GF1_B_mom_d32	2.61501	0	0	0	0	2.12565	50.65554	0	0	0	5.62842	3.3564	20.10749	0	0	0	0.91839	0	0	4.00878	5.28758	0	0	0	0	0	0	0	0	5.29674	0
GF1_B10	0	0	0	0	0	0.85487	43.63559	0	0	0	8.77239	2.79574	31.11821	0	0	0	0.24717	0	0	0.96112	7.46627	0	0	0	0	0	0	0	0	4.14865	0
GF1_B14	0	0	0	0	0	0.86091	67.36827	0	0	0	2.56797	1.83001	14.19298	0	0	0	0.8889	0	0	0.62456	8.46168	0	0	0	0	0	0	0	0	3.20471	0
GF1_B17	1.76933	0	0	0	0	1.77103	53.27646	0	0	0	6.21689	2.36627	19.29567	0	0	0	1.04269	0	0	2.2964	7.18549	0	0	0	0	0	0	0	0	4.77978	0
GF1_B25	3.11903	0	0	0	0	1.76194	56.15216	0	0	0	4.05566	1.65911	15.91911	0	0	0	0.55764	0	0	3.95711	7.90863	0	0	0	0	0	0	0	0	4.90961	0
GF1_B3_d38	0.18711	0	0	0	0	0	48.68524	0	0	0	6.29659	0.67903	31.03343	0	0	0	0.55582	0	0	2.11314	10.44965	0	0	0	0	0	0	0	0	0	0
GF1_B5_D38	0	0	0	0	0	0	48.84945	0	0	0	7.00567	2.32762	33.25909	0	0	0	0.16332	0	0	0	8.39485	0	0	0	0	0	0	0	0	0	0
GF1_B6_d38	0	0	0	0	0	0	55.99118	0	0	0	5.66969	1.76203	25.98555	0	0	0	0.18133	0	0	0	10.41022	0	0	0	0	0	0	0	0	0	0
