Sample	taxa	abundance
GF11_B6_d105_colon	p__Actinobacteria	56.55554
GF11_B6_d105_colon	p__Firmicutes	40.04385
GF11_B6_d105_colon	p__Proteobacteria	3.40061
GF11_B6_d71	p__Proteobacteria	99.21371
GF11_B6_d71	p__Actinobacteria	0.4296
GF11_B6_d71	p__Firmicutes	0.35668
GF11_B7_d105_colon	p__Actinobacteria	68.55783
GF11_B7_d105_colon	p__Proteobacteria	16.1258
GF11_B7_d105_colon	p__Firmicutes	15.31638
GF11_B7_d71	p__Proteobacteria	92.28739
GF11_B7_d71	p__Firmicutes	5.95436
GF11_B7_d71	p__Actinobacteria	1.75825
GF11_B7_d73	p__Proteobacteria	100
GF11_B7_d74_colon	p__Firmicutes	74.94234
GF11_B7_d74_colon	p__Proteobacteria	25.05766
GF11_B8_d105_colon	p__Actinobacteria	61.75206
GF11_B8_d105_colon	p__Firmicutes	33.72111
GF11_B8_d105_colon	p__Proteobacteria	4.52683
GF11_C1_COLON_D38	p__Proteobacteria	100
GF11_C1_D36	p__Proteobacteria	75.44759
