Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae,Campylobacteraceae,Bacillales_unclassified,Bacteroidaceae,Akkermansiaceae,Lactobacillaceae,Lachnospiraceae,Sutterellaceae,Proteobacteria_unclassified,Sphingomonadaceae,Corynebacteriaceae,Mycobacteriaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Propionibacteriaceae,Fusobacteriaceae,Yersiniaceae,Sphingobacteriaceae,Comamonadaceae,Paenibacillaceae,Moraxellaceae
GF24_C1_d129_cwash,0,0.12746,0,0,98.23737,0,0.16442,0,0,0,0,0.10692,0.02572,1.3381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C2_39_cwash,0,69.26263,0,0,5.68121,0,0,0,0,0,0,16.47843,8.57773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C2_d108_cwash,0,0.86403,0,0,84.2684,0,7.18368,0,0,0,0,0.45061,6.40381,0.82947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C2_d129_cwash,0,0,0,0,95.66632,0,0,0,0,0,0,0,0,4.33368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C2_d86_cwash,0,1.8642,0,0,91.11717,0,3.73471,0,0,0,0,1.07243,2.08909,0.1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_37_stool,0,2.39829,0,0,96.63909,0,0.38191,0,0,0,0,0.58072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_38_cwash,0,90.05915,0,0,9.94085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d108_cwash,0,0,0,0,99.38236,0,0,0,0,0,0,0,0,0.61764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d129_cwash,0,0,0,0,91.14841,0,2.31147,0,0,0,0,0.16038,0.40071,5.97903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d85_stool,0,0.64769,0,0,98.7291,0,0.04312,0,0,0,0,0.58008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C3_d86_cwash,0,4.22075,0,0,80.11221,0,12.59593,0,0,0,0,1.45308,0.74238,0.87563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_37_stool,0,3.39349,0,0,88.71129,0,5.3666,0,0,0,0,2.52862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_38_cwash,0,80.81278,0,0,3.56893,0,0,0,0,0,0,12.17629,3.44199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_38_stool,0,0,0,0,28.30576,0,0,0,0,0,0,0,71.69424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_d108_cwash,0,0,0,0,90.9051,0,1.13126,0,0,0,0,0,0.29337,7.67027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_d129_cwash,0,1.1517,0,0,93.68476,0,1.09939,0,0,2.46784,0,0.15415,0,1.44216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF24_C4_d86_cwash,0,5.44855,0,0,88.93862,0,0.38348,0,0,0,0,0.06307,0.99128,4.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
