Sample	Order	Abundance
GF26_A2_d101_cwash	Enterobacterales	99.49702
GF26_A2_d101_cwash	Burkholderiales	0.50298
GF26_A2_d149_cwash	Enterobacterales	100
GF26_A3_d101_cwash	Enterobacterales	99.67376
GF26_A3_d101_cwash	Burkholderiales	0.32624
GF26_A3_d149_cwash	Enterobacterales	100
GF26_A4_d101_cwash	Enterobacterales	99.90338
GF26_A4_d101_cwash	Burkholderiales	0.09662
GF26_A4_d146_stool	Enterobacterales	100
GF26_A4_d147_stool	Enterobacterales	100
GF26_A4_d148_stool	Enterobacterales	100
GF26_A4_d65_cwash	Burkholderiales	100
GF26_A5_d101_cwash	Enterobacterales	99.78987
GF26_A5_d101_cwash	Burkholderiales	0.21013
GF26_A7_d65_cwash	Burkholderiales	100
GF26_A9_d149_cwash	Enterobacterales	98.66572
GF26_A9_d149_cwash	Burkholderiales	1.33428
GF26_Adam_d148_stool	Enterobacterales	99.45252
GF26_Adam_d148_stool	Micrococcales	0.54748
GF26_Adam_d98_stool	Enterobacterales	97.80874
GF26_Adam_d98_stool	Micrococcales	2.13436
GF26_Adam_d98_stool	Burkholderiales	0.0569
GF26_Bdam_d133_stool	Enterobacterales	97.72492
GF26_Bdam_d133_stool	Micrococcales	2.27508
GF26_Bdam_d85_stool	Enterobacterales	98.47436
GF26_Bdam_d85_stool	Micrococcales	1.52564
GF26_Bdam_d91_stool	Enterobacterales	97.16895
GF26_Bdam_d91_stool	Micrococcales	2.83105
GF26_Cdam_d98_stool	Enterobacterales	40.04715
GF26_Cdam_d98_stool	Clostridiales	29.71521
GF26_Cdam_d98_stool	Lactobacillales	14.97965
GF26_Cdam_d98_stool	Erysipelotrichales	9.83427
GF26_Cdam_d98_stool	Tissierellales	5.40198
GF26_Cdam_d98_stool	Burkholderiales	0.02174
GF27_A1_d33_cwash	Enterobacterales	88.81545
GF27_A1_d33_cwash	Clostridiales	5.8521
GF27_A1_d33_cwash	Erysipelotrichales	3.15951
GF27_A1_d33_cwash	Burkholderiales	2.05392
GF27_A1_d33_cwash	Lactobacillales	0.11902
GF27_A2_d33_cwash	Enterobacterales	82.48614
GF27_A2_d33_cwash	Burkholderiales	8.46391
GF27_A2_d33_cwash	Erysipelotrichales	5.34267
GF27_A2_d33_cwash	Clostridiales	3.70728
GF27_A3_d33_cwash	Enterobacterales	84.82187
GF27_A3_d33_cwash	Clostridiales	9.75416
GF27_A3_d33_cwash	Burkholderiales	2.73302
GF27_A3_d33_cwash	Erysipelotrichales	2.69095
GF27_A6_d33_cwash	Enterobacterales	88.21256
GF27_A6_d33_cwash	Clostridiales	5.93563
GF27_A6_d33_cwash	Burkholderiales	3.91934
GF27_A6_d33_cwash	Erysipelotrichales	1.93248
GF27_A7_d33_cwash	Enterobacterales	88.83009
GF27_A7_d33_cwash	Clostridiales	4.29356
GF27_A7_d33_cwash	Burkholderiales	3.7894
GF27_A7_d33_cwash	Erysipelotrichales	3.08694
GF27_A8_d33_cwash	Enterobacterales	85.38738
GF27_A8_d33_cwash	Burkholderiales	7.89298
GF27_A8_d33_cwash	Clostridiales	5.66773
GF27_A8_d33_cwash	Erysipelotrichales	1.05191
GF27_GF27_Inoc	Enterobacterales	38.82905
GF27_GF27_Inoc	Lactobacillales	29.46951
GF27_GF27_Inoc	Bacillales	26.29843
GF27_GF27_Inoc	Veillonellales	3.021
GF27_GF27_Inoc	Clostridiales	1.94719
GF27_GF27_Inoc	Erysipelotrichales	0.39551
GF27_GF27_Inoc	Actinomycetales	0.03931
Gn3_6B_dam_210806	Enterobacterales	100
Gn3_6B_dam_210818	Enterobacterales	100
