Sample	Class	Abundance
GF24_damC_30_stool	Gammaproteobacteria	42.9408
GF24_damC_30_stool	Actinobacteria	39.39149
GF24_damC_30_stool	Clostridia	8.07641
GF24_damC_30_stool	Erysipelotrichia	6.12858
GF24_damC_30_stool	Bacilli	3.42561
GF24_damC_30_stool	Tissierellia	0.03711
GF24_damC_3_stool	Clostridia	65.42195
GF24_damC_3_stool	Gammaproteobacteria	21.93013
GF24_damC_3_stool	Erysipelotrichia	8.52129
GF24_damC_3_stool	Bacilli	4.12662
GF24_damC_51_stool	Clostridia	34.88548
GF24_damC_51_stool	Bacilli	25.71135
GF24_damC_51_stool	Gammaproteobacteria	20.44615
GF24_damC_51_stool	Erysipelotrichia	18.95702
GF24_Inoc_0	Gammaproteobacteria	71.10906
GF24_Inoc_0	Clostridia	10.29706
GF24_Inoc_0	Negativicutes	9.03552
GF24_Inoc_0	Bacilli	7.29698
GF24_Inoc_0	Erysipelotrichia	2.21149
GF24_Inoc_0	Actinobacteria	0.04989
GF26_A1_d101_cwash	Gammaproteobacteria	99.41658
GF26_A1_d101_cwash	Betaproteobacteria	0.58342
GF26_A1_d65_cwash	Betaproteobacteria	100
GF26_A2_d101_cwash	Gammaproteobacteria	99.49702
GF26_A2_d101_cwash	Betaproteobacteria	0.50298
GF26_A2_d149_cwash	Gammaproteobacteria	100
GF26_A3_d101_cwash	Gammaproteobacteria	99.67376
GF26_A3_d101_cwash	Betaproteobacteria	0.32624
GF26_A3_d149_cwash	Gammaproteobacteria	100
GF26_A4_d101_cwash	Gammaproteobacteria	99.90338
GF26_A4_d101_cwash	Betaproteobacteria	0.09662
GF26_A4_d146_stool	Gammaproteobacteria	100
GF26_A4_d147_stool	Gammaproteobacteria	100
GF26_A4_d148_stool	Gammaproteobacteria	100
GF26_A4_d65_cwash	Betaproteobacteria	100
GF26_A5_d101_cwash	Gammaproteobacteria	99.78987
GF26_A5_d101_cwash	Betaproteobacteria	0.21013
GF26_A7_d65_cwash	Betaproteobacteria	100
GF26_A9_d149_cwash	Gammaproteobacteria	98.66572
GF26_A9_d149_cwash	Betaproteobacteria	1.33428
GF26_Adam_d148_stool	Gammaproteobacteria	99.45252
GF26_Adam_d148_stool	Actinobacteria	0.54748
GF26_Adam_d98_stool	Gammaproteobacteria	97.80874
GF26_Adam_d98_stool	Actinobacteria	2.13436
GF26_Adam_d98_stool	Betaproteobacteria	0.0569
GF26_Bdam_d133_stool	Gammaproteobacteria	97.72492
GF26_Bdam_d133_stool	Actinobacteria	2.27508
GF26_Bdam_d85_stool	Gammaproteobacteria	98.47436
GF26_Bdam_d85_stool	Actinobacteria	1.52564
GF26_Bdam_d91_stool	Gammaproteobacteria	97.16895
GF26_Bdam_d91_stool	Actinobacteria	2.83105
GF26_Cdam_d98_stool	Gammaproteobacteria	40.04715
GF26_Cdam_d98_stool	Clostridia	29.71521
GF26_Cdam_d98_stool	Bacilli	14.97965
GF26_Cdam_d98_stool	Erysipelotrichia	9.83427
GF26_Cdam_d98_stool	Tissierellia	5.40198
GF26_Cdam_d98_stool	Betaproteobacteria	0.02174
GF27_A1_d33_cwash	Gammaproteobacteria	88.81545
GF27_A1_d33_cwash	Clostridia	5.8521
GF27_A1_d33_cwash	Erysipelotrichia	3.15951
GF27_A1_d33_cwash	Betaproteobacteria	2.05392
GF27_A1_d33_cwash	Bacilli	0.11902
GF27_A2_d33_cwash	Gammaproteobacteria	82.48614
GF27_A2_d33_cwash	Betaproteobacteria	8.46391
